name, displayName, class, item block
"tile.stone","Stone","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStone"
"tile.grass","Grass Block","net.minecraft.item.ItemBlock","net.minecraft.block.BlockGrass"
"tile.dirt.default","Dirt","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockDirt"
"tile.dirt.podzol","Podzol","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockDirt"
"tile.stonebrick","Cobblestone","net.minecraft.item.ItemBlock","net.minecraft.block.Block"
"tile.wood.oak","Oak Wood Planks","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockWood"
"tile.wood.spruce","Spruce Wood Planks","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockWood"
"tile.wood.birch","Birch Wood Planks","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockWood"
"tile.wood.jungle","Jungle Wood Planks","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockWood"
"tile.wood.acacia","Acacia Wood Planks","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockWood"
"tile.wood.big_oak","Dark Oak Wood Planks","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockWood"
"tile.sapling.oak","Oak Sapling","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSapling"
"tile.sapling.spruce","Spruce Sapling","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSapling"
"tile.sapling.birch","Birch Sapling","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSapling"
"tile.sapling.jungle","Jungle Sapling","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSapling"
"tile.sapling.acacia","Acacia Sapling","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSapling"
"tile.sapling.roofed_oak","Dark Oak Sapling","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSapling"
"tile.bedrock","Bedrock","net.minecraft.item.ItemBlock","net.minecraft.block.Block"
"tile.water","Water","net.minecraft.item.ItemBlock","net.minecraft.block.BlockDynamicLiquid"
"tile.water","Water","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStaticLiquid"
"tile.lava","Lava","net.minecraft.item.ItemBlock","net.minecraft.block.BlockDynamicLiquid"
"tile.lava","Lava","net.minecraft.item.ItemBlock","net.minecraft.block.BlockStaticLiquid"
"tile.sand.default","Sand","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSand"
"tile.sand.red","Red Sand","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSand"
"tile.gravel","Gravel","net.minecraft.item.ItemBlock","net.minecraft.block.BlockGravel"
"tile.oreGold","Gold Ore","net.minecraft.item.ItemBlock","net.minecraft.block.BlockOre"
"tile.oreIron","Iron Ore","net.minecraft.item.ItemBlock","net.minecraft.block.BlockOre"
"tile.oreCoal","Coal Ore","net.minecraft.item.ItemBlock","net.minecraft.block.BlockOre"
"tile.log.oak","Oak Wood","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockOldLog"
"tile.log.spruce","Spruce Wood","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockOldLog"
"tile.log.birch","Birch Wood","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockOldLog"
"tile.log.jungle","Jungle Wood","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockOldLog"
"tile.leaves.oak","Oak Leaves","net.minecraft.item.ItemLeaves","net.minecraft.block.BlockOldLeaf"
"tile.leaves.spruce","Spruce Leaves","net.minecraft.item.ItemLeaves","net.minecraft.block.BlockOldLeaf"
"tile.leaves.birch","Birch Leaves","net.minecraft.item.ItemLeaves","net.minecraft.block.BlockOldLeaf"
"tile.leaves.jungle","Jungle Leaves","net.minecraft.item.ItemLeaves","net.minecraft.block.BlockOldLeaf"
"tile.sponge","Sponge","net.minecraft.item.ItemBlock","net.minecraft.block.BlockSponge"
"tile.glass","Glass","net.minecraft.item.ItemBlock","net.minecraft.block.BlockGlass"
"tile.oreLapis","Lapis Lazuli Ore","net.minecraft.item.ItemBlock","net.minecraft.block.BlockOre"
"tile.blockLapis","Lapis Lazuli Block","net.minecraft.item.ItemBlock","net.minecraft.block.BlockCompressed"
"tile.dispenser","Dispenser","net.minecraft.item.ItemBlock","net.minecraft.block.BlockDispenser"
"tile.sandStone.default","Sandstone","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSandStone"
"tile.sandStone.chiseled","Chiseled Sandstone","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSandStone"
"tile.sandStone.smooth","Smooth Sandstone","net.minecraft.item.ItemMultiTexture","net.minecraft.block.BlockSandStone"
"tile.musicBlock","Note Block","net.minecraft.item.ItemBlock","net.minecraft.block.BlockNote"
"tile.goldenRail","Powered Rail","net.minecraft.item.ItemBlock","net.minecraft.block.BlockRailPowered"
"tile.detectorRail","Detector Rail","net.minecraft.item.ItemBlock","net.minecraft.block.BlockRailDetector"
"tile.pistonStickyBase","Sticky Piston","net.minecraft.item.ItemPiston","net.minecraft.block.BlockPistonBase"
"tile.web","Cobweb","net.minecraft.item.ItemBlock","net.minecraft.block.BlockWeb"
"tile.tallgrass.grass","Grass","net.minecraft.item.ItemColored","net.minecraft.block.BlockTallGrass"
"tile.tallgrass.fern","Fern","net.minecraft.item.ItemColored","net.minecraft.block.BlockTallGrass"
"tile.deadbush","Dead Bush","net.minecraft.item.ItemBlock","net.minecraft.block.BlockDeadBush"
"tile.pistonBase","Piston","net.minecraft.item.ItemPiston","net.minecraft.block.BlockPistonBase"
"tile.cloth.white","Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.orange","Orange Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.magenta","Magenta Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.lightBlue","Light Blue Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.yellow","Yellow Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
"tile.cloth.lime","Lime Wool","net.minecraft.item.ItemCloth","net.minecraft.block.BlockColored"
